CATEGORY,SIZE,PRICE,CONTENT RATING,TYPE,INSTALLS,RATING,Free,Paid,REVIEWS
Family,19.0,0.0,Teen,Free,1000000,4.0,1,0,29708.0
Food And Drink,13.0,0.0,Everyone,Free,1000,1.7,1,0,14.0
Photography,0.0,0.0,Everyone,Free,10000000,4.5,1,0,223941.0
Finance,6.3,0.0,Everyone,Free,10000,3.9,1,0,730.0
Video Players,0.2,0.0,Everyone,Free,5000,4.4,1,0,32.0
Books And Reference,24.0,0.0,Everyone,Free,50,4.4,1,0,1.0
Shopping,2.9,0.0,Teen,Free,100,5.0,1,0,2.0
Productivity,4.4,0.0,Everyone,Free,500000,3.2,1,0,2728.0
Family,5.1,0.0,Everyone,Free,100000,4.3,1,0,367.0
Video Players,3.7,0.0,Everyone,Free,500,4.3,1,0,17.0
Tools,33.0,0.0,Everyone,Free,10000,4.2,1,0,32.0
Lifestyle,4.3,0.0,Everyone,Free,5,4.2,1,0,0.0
Photography,7.6,0.0,Everyone,Free,100,4.2,1,0,1.0
Tools,5.1,0.0,Everyone,Free,1000000,3.4,1,0,7816.0
Business,2.1,0.0,Everyone,Free,10000,1.7,1,0,84.0
Tools,3.0,0.0,Everyone,Free,1000000,3.1,1,0,3263.0
Lifestyle,5.7,0.99,Everyone,Paid,5000,4.5,0,1,231.0
Medical,24.0,0.0,Everyone,Free,10000,3.8,1,0,63.0
Events,11.0,0.0,Everyone,Free,100,3.8,1,0,3.0
Finance,11.0,0.0,Everyone,Free,500,3.8,1,0,3.0
Family,48.0,0.0,Everyone,Free,10000,4.3,1,0,111.0
Shopping,18.0,0.0,Everyone,Free,100000,3.8,1,0,454.0
Family,54.0,0.0,Everyone,Free,10000,4.3,1,0,96.0
Family,30.0,0.0,Everyone,Free,1000,4.2,1,0,9.0
Health And Fitness,8.2,0.0,Everyone,Free,100000,3.4,1,0,2105.0
Video Players,18.0,0.0,Everyone,Free,100000,4.3,1,0,1628.0
Tools,5.0,0.0,Everyone,Free,10000,4.2,1,0,533.0
Family,4.3,0.0,Everyone,Free,1000,4.2,1,0,0.0
Family,0.0,0.0,Everyone,Free,10000000,4.5,1,0,36606.0
News And Magazines,35.0,0.0,Teen,Free,1000000,4.0,1,0,18976.0
Education,25.0,0.0,Everyone,Free,5000000,3.8,1,0,27572.0
Family,0.0,0.0,Teen,Free,5000000,3.3,1,0,50428.0
News And Magazines,0.0,0.0,Everyone,Free,100000,3.6,1,0,1820.0
Family,91.0,0.0,Everyone,Free,5000000,4.3,1,0,50887.0
Medical,1.8,0.99,Everyone,Paid,50,4.3,0,1,2.0
Health And Fitness,0.0,0.0,Everyone,Free,100000,4.8,1,0,5103.0
Tools,29.0,0.0,Everyone,Free,100,4.8,1,0,1.0
Tools,3.2,0.0,Everyone,Free,1000000,3.6,1,0,3632.0
News And Magazines,14.0,0.0,Teen,Free,1000000,4.2,1,0,23291.5
Books And Reference,3.1,0.0,Everyone,Free,5000,4.2,1,0,27.0
Family,1.4,2.0,Everyone,Paid,50,4.2,0,1,1.0
Lifestyle,1.2,3.04,Everyone,Paid,10,5.0,0,1,1.0
Business,0.0,0.0,Everyone,Free,100000,3.5,1,0,537.0
House And Home,9.7,0.0,Everyone,Free,100000,3.4,1,0,1450.0
Family,1.7,0.0,Everyone,Free,100000,1.6,1,0,402.0
Tools,2.0,0.0,Everyone,Free,100000,3.3,1,0,472.0
Family,2.3,0.0,Everyone,Free,100000,3.3,1,0,353.0
Tools,3.4,0.0,Everyone,Free,100000,3.0,1,0,1298.0
Tools,26.0,0.0,Everyone,Free,10000,3.7,1,0,163.0
Tools,26.0,0.0,Everyone,Free,50000,3.5,1,0,383.0
Tools,27.0,0.0,Everyone,Free,50000,3.9,1,0,336.0
Tools,28.0,0.0,Everyone,Free,100000,3.7,1,0,1041.0
Tools,26.0,0.0,Everyone,Free,100000,4.0,1,0,448.0
Tools,26.0,0.0,Everyone,Free,50000,3.7,1,0,274.0
Tools,27.0,0.0,Everyone,Free,100000,3.7,1,0,566.0
Tools,26.0,0.0,Everyone,Free,50000,3.7,1,0,332.0
Tools,4.2,0.0,Everyone,Free,10000,4.7,1,0,147.0
Tools,23.0,0.0,Everyone,Free,10000,3.6,1,0,41.0
Tools,7.7,0.0,Everyone,Free,100000,3.9,1,0,3043.0
Communication,4.3,0.0,Everyone,Free,50,3.9,1,0,0.0
Productivity,4.5,8.99,Everyone,Paid,500,3.1,0,1,19.0
Productivity,30.0,0.0,Everyone,Free,10,3.1,1,0,0.0
Finance,45.0,0.0,Everyone,Free,100000,4.1,1,0,2898.0
Video Players,35.0,0.0,Everyone,Free,50000,3.3,1,0,439.0
News And Magazines,0.0,0.0,Everyone,Free,1000000,3.7,1,0,10382.0
News And Magazines,0.0,0.0,Everyone,Free,1000000,3.7,1,0,10369.0
Business,19.0,0.0,Everyone,Free,10000,4.5,1,0,176.0
Business,29.0,0.0,Everyone,Free,5000000,4.3,1,0,85185.0
Tools,6.3,1.99,Everyone,Paid,100,5.0,0,1,2.0
Personalization,0.0,0.0,Everyone,Free,10000000,4.3,1,0,181399.0
Personalization,2.8,2.49,Everyone,Paid,500000,4.3,0,1,28728.0
Shopping,28.0,0.0,Everyone,Free,1000000,4.2,1,0,20476.0
Game,0.0,0.0,Everyone,Free,5000000,4.2,1,0,74902.0
Game,26.0,0.0,Teen,Free,100000,3.9,1,0,2588.0
Sports,7.6,0.0,Everyone,Free,50000,3.8,1,0,926.0
Game,39.0,0.0,Teen,Free,10000,4.1,1,0,533.0
Sports,0.0,0.0,Everyone,Free,500000,3.9,1,0,8638.0
Sports,0.0,0.0,Everyone,Free,1000000,4.0,1,0,8100.0
Game,0.0,0.0,Teen,Free,500000,4.4,1,0,61746.0
Game,17.0,0.0,Teen,Free,100000,4.0,1,0,1417.0
Family,0.0,0.0,Everyone,Free,100000,4.2,1,0,6973.0
Books And Reference,30.0,0.0,Everyone,Free,1000,4.5,1,0,14.0
Shopping,0.1,0.0,Everyone,Free,10000,3.8,1,0,208.0
Game,27.0,0.0,Everyone,Free,10000,4.5,1,0,804.0
Game,29.0,0.0,Teen,Free,1000000,4.3,1,0,30002.0
Game,6.6,0.0,Everyone,Free,1000,4.4,1,0,14.0
Game,15.0,0.0,Everyone,Free,10000,4.2,1,0,358.0
Game,35.0,0.0,Teen,Free,100000,3.9,1,0,6988.0
Auto And Vehicles,66.0,0.0,Everyone,Free,1000,4.4,1,0,64.0
Game,12.0,0.0,Everyone,Free,1000000,3.7,1,0,8581.0
Game,18.0,0.0,Everyone,Free,50000,4.2,1,0,960.0
Game,30.0,0.0,Everyone,Free,10000,4.2,1,0,652.0
Game,17.0,0.0,Teen,Free,1000000,4.3,1,0,18277.0
Tools,4.0,0.0,Everyone,Free,100,4.3,1,0,0.0
Game,37.0,0.0,Everyone,Free,1000000,4.0,1,0,17876.0
Tools,0.3,0.0,Everyone,Free,1000,4.1,1,0,19.0
Family,26.0,0.0,Everyone,Free,100000,4.4,1,0,5262.0
Game,26.0,0.0,Everyone,Free,50000,4.3,1,0,1776.0
Game,0.0,0.0,Everyone,Free,500000,4.5,1,0,17263.0
Family,12.0,0.0,Everyone,Free,100000,4.3,1,0,2171.0
Game,18.0,0.0,Teen,Free,50000,4.0,1,0,721.0
Photography,17.0,0.0,Everyone,Free,1000,4.0,1,0,4.0
Weather,9.2,0.0,Everyone,Free,1000000,3.8,1,0,15966.0
Comics,4.1,0.0,Everyone,Free,100,2.8,1,0,5.0
Health And Fitness,15.0,0.0,Everyone,Free,10000,2.0,1,0,136.0
Family,11.0,0.0,Everyone,Free,100,2.0,1,0,3.0
Business,11.0,0.0,Teen,Free,50,2.0,1,0,0.0
News And Magazines,18.0,0.0,Everyone,Free,10000,4.7,1,0,210.0
Health And Fitness,19.0,0.0,Everyone,Free,100,4.7,1,0,6.0
Business,11.0,0.0,Everyone,Free,100,4.7,1,0,0.0
Medical,0.9,5.0,Teen,Paid,100,4.7,0,1,5.0
Medical,0.9,0.0,Teen,Free,10000,4.5,1,0,93.0
Communication,3.7,0.0,Everyone,Free,5000,4.5,1,0,185.0
Communication,3.7,4.99,Everyone,Paid,500,4.5,0,1,88.0
Game,22.0,0.0,Everyone,Free,10000,3.8,1,0,164.0
Family,62.0,0.0,Everyone,Free,500,3.8,1,0,3.0
Auto And Vehicles,1.7,0.0,Everyone,Free,100,3.8,1,0,5.0
Tools,2.7,0.0,Everyone,Free,1000,3.7,1,0,7.0
Family,56.0,0.0,Everyone,Free,100000,4.4,1,0,6738.0
Family,47.0,0.99,Everyone,Paid,5000,4.5,0,1,623.0
Family,0.0,0.0,Everyone,Free,1000,4.5,1,0,0.0
Tools,8.7,0.0,Everyone,Free,100,4.1,1,0,12.0
Tools,18.0,0.0,Everyone,Free,100,4.1,1,0,3.0
Tools,0.1,4.99,Everyone,Paid,100,3.9,0,1,7.0
Health And Fitness,59.0,0.0,Everyone,Free,1000,3.4,1,0,5.0
Personalization,59.0,0.0,Everyone,Free,50000,4.6,1,0,644.0
Medical,27.0,0.0,Everyone,Free,100,4.6,1,0,3.0
Medical,29.0,0.0,Everyone,Free,100,4.6,1,0,0.0
Family,2.0,0.0,Everyone,Free,100,4.6,1,0,11.0
Game,86.0,0.0,Teen,Free,100000,3.8,1,0,1088.0
Tools,99.0,0.0,Everyone,Free,5000,4.0,1,0,97.0
Photography,4.3,2.99,Everyone,Paid,1000,3.0,0,1,20.0
Beauty,13.0,0.0,Everyone,Free,10000,3.1,1,0,40.0
Photography,3.7,0.0,Everyone,Free,500,3.1,1,0,0.0
Productivity,48.0,0.0,Everyone,Free,1000,3.5,1,0,43.0
News And Magazines,2.3,0.0,Everyone,Free,100,5.0,1,0,43.0
Family,3.3,0.0,Everyone,Free,5000,4.4,1,0,8.0
Auto And Vehicles,7.7,0.0,Everyone,Free,10,4.4,1,0,0.0
Family,35.0,0.0,Everyone,Free,50000,4.5,1,0,1564.0
Finance,5.3,0.0,Everyone,Free,10000,2.8,1,0,135.0
Personalization,31.0,0.99,Everyone,Paid,50,5.0,0,1,4.0
Photography,2.8,0.0,Everyone,Free,100,5.0,1,0,44.0
House And Home,17.0,0.0,Everyone,Free,10,5.0,1,0,0.0
Personalization,35.0,0.99,Everyone,Paid,10,5.0,0,1,2.0
Personalization,35.0,0.99,Everyone,Paid,50,4.8,0,1,5.0
Game,42.0,1.99,Everyone,Paid,50000,4.4,0,1,2975.0
Lifestyle,22.0,0.0,Everyone,Free,100,5.0,1,0,2.0
Shopping,6.6,0.0,Everyone,Free,100,5.0,1,0,1.0
Family,7.3,0.0,Everyone,Free,500,4.6,1,0,31.0
Personalization,30.0,0.99,Everyone,Paid,10,4.6,0,1,0.0
Shopping,0.0,0.0,Everyone,Free,10000,4.4,1,0,134.0
Video Players,1.7,0.0,Everyone,Free,100,4.8,1,0,18.0
Shopping,0.2,0.0,Everyone,Free,10,5.0,1,0,9.0
Family,8.2,0.0,Everyone,Free,10,5.0,1,0,1.0
Family,8.4,0.0,Teen,Free,50,5.0,1,0,0.0
Maps And Navigation,3.2,0.0,Everyone,Free,10,5.0,1,0,0.0
Art And Design,25.0,0.0,Everyone,Free,5000,4.8,1,0,48.0
Art And Design,3.6,0.0,Everyone,Free,1000,4.0,1,0,18.0
Family,2.7,0.0,Teen,Free,5,4.0,1,0,0.0
Personalization,32.0,0.99,Everyone,Paid,10,4.0,0,1,0.0
Personalization,3.9,0.0,Everyone,Free,100,4.0,1,0,0.0
Lifestyle,0.5,0.0,Everyone,Free,100,4.0,1,0,0.0
News And Magazines,0.0,0.0,Everyone,Free,1000,4.0,1,0,0.0
Food And Drink,27.0,0.0,Everyone,Free,5,4.0,1,0,0.0
Maps And Navigation,27.0,0.0,Everyone,Free,10,4.0,1,0,0.0
Personalization,15.0,0.0,Teen,Free,100,4.0,1,0,1.0
Personalization,6.8,0.0,Everyone,Free,50000,4.2,1,0,322.0
Personalization,4.4,0.0,Everyone,Free,50000,4.1,1,0,585.0
Personalization,8.8,0.0,Mature,Free,500,4.6,1,0,5.0
Game,7.6,0.0,Teen,Free,1000,4.6,1,0,4.0
Tools,7.0,0.0,Everyone,Free,10000,3.8,1,0,71.0
Family,13.0,0.0,Everyone,Free,10000,4.3,1,0,734.0
Video Players,2.1,0.0,Everyone,Free,100,4.9,1,0,23.0
Family,18.0,0.0,Everyone,Free,50000,3.6,1,0,283.0
Communication,4.2,0.0,Everyone,Free,5000,4.4,1,0,9.0
Game,24.0,0.0,Everyone,Free,10000,3.7,1,0,91.0
Family,25.0,0.0,Teen,Free,10000,3.7,1,0,165.0
Game,5.8,0.0,Everyone,Free,500,3.7,1,0,1.0
Family,18.0,0.0,Everyone,Free,100,3.7,1,0,2.0
Family,2.9,0.0,Teen,Free,500000,3.9,1,0,656.0
Family,5.1,0.0,Everyone,Free,100,3.9,1,0,2.0
Family,3.8,0.0,Everyone,Free,1000,3.9,1,0,7.0
Family,14.0,0.0,Teen,Free,100000,4.0,1,0,345.0
Tools,2.8,0.0,Everyone,Free,10000,3.9,1,0,54.0
Tools,71.0,0.0,Everyone,Free,10000,2.4,1,0,99.0
Productivity,2.4,0.0,Everyone,Free,1000000,3.6,1,0,4832.0
News And Magazines,8.0,0.0,Teen,Free,50000,3.4,1,0,803.0
Sports,8.0,0.0,Teen,Free,10000,4.5,1,0,459.0
Productivity,18.0,0.0,Everyone,Free,1000000,4.7,1,0,167406.0
Family,3.2,0.0,Everyone,Free,1000,4.0,1,0,51.0
Dating,17.0,7.99,Mature,Paid,100,3.5,0,1,2.0
Family,14.0,0.0,Teen,Free,1000000,3.2,1,0,20843.0
Entertainment,72.0,0.0,Everyone,Free,1000000,4.3,1,0,44550.0
Events,6.1,0.0,Everyone,Free,100,4.3,1,0,5.0
Finance,12.0,0.0,Everyone,Free,10000,4.5,1,0,175.0
Events,3.3,0.0,Everyone,Free,1000,4.0,1,0,9.0
Medical,3.8,0.0,Everyone,Free,100000,4.7,1,0,2570.0
Business,42.0,0.0,Everyone,Free,100,4.7,1,0,0.0
Medical,46.0,0.0,Everyone,Free,5000,4.9,1,0,25.0
News And Magazines,0.0,0.0,Teen,Free,5000000,4.1,1,0,62465.0
News And Magazines,9.9,0.0,Everyone,Free,10000,3.6,1,0,188.0
Family,96.0,29.99,Mature,Paid,10,5.0,0,1,1.0
Family,5.4,0.0,Everyone,Free,10000,4.6,1,0,87.0
Family,9.0,0.0,Everyone,Free,10000,4.4,1,0,105.0
Family,29.0,0.0,Everyone,Free,500,4.2,1,0,4.0
Family,5.4,0.0,Everyone,Free,1000,3.6,1,0,5.0
Family,5.4,0.0,Everyone,Free,10000,4.7,1,0,55.0
Productivity,0.5,0.0,Everyone,Free,5000,4.1,1,0,22.0
Family,5.4,0.0,Everyone,Free,5000,4.5,1,0,19.0
Family,5.4,0.0,Everyone,Free,1000,4.7,1,0,7.0
Family,41.0,0.0,Everyone,Free,10000,3.7,1,0,88.0
Family,1.5,2.99,Everyone,Paid,1000,4.7,0,1,3.0
Tools,0.3,0.0,Everyone,Free,5000,4.5,1,0,23.0
Tools,2.8,0.0,Everyone,Free,10000,4.0,1,0,177.0
Family,9.5,0.0,Everyone,Free,5000,3.7,1,0,37.0
Family,13.0,0.0,Everyone,Free,10000,4.6,1,0,117.0
News And Magazines,4.6,0.0,Teen,Free,1000000,4.5,1,0,76646.5
Business,14.0,0.0,Everyone,Free,100,4.5,1,0,0.0
Family,5.3,0.0,Everyone,Free,5000,4.4,1,0,29.0
Family,1.3,0.0,Everyone,Free,5000,2.9,1,0,45.0
Family,5.4,0.0,Everyone,Free,50000,4.5,1,0,242.0
Family,7.4,1.99,Everyone,Paid,0,4.5,0,1,0.0
Books And Reference,2.7,0.0,Everyone,Free,10000,3.4,1,0,82.0
Family,5.4,0.0,Everyone,Free,5000,4.2,1,0,19.0
Personalization,45.0,1.49,Everyone,Paid,500,3.6,0,1,5.0
Family,5.4,0.0,Everyone,Free,5000,4.8,1,0,21.0
Weather,9.1,0.0,Everyone,Free,5000000,4.3,1,0,20008.0
Tools,5.6,0.0,Everyone,Free,1000000,3.7,1,0,3743.0
Sports,0.0,0.0,Everyone,Free,10000,4.6,1,0,688.0
Productivity,13.0,0.0,Everyone,Free,10000000,4.6,1,0,1048766.0
Tools,10.0,0.0,Everyone,Free,50000000,4.1,1,0,498894.0
Personalization,14.0,0.0,Everyone,Free,100000000,4.5,1,0,5783441.0
Productivity,0.0,0.0,Everyone,Free,10,4.5,1,0,5.0
Family,2.1,0.0,Everyone,Free,1000,5.0,1,0,3.0
Medical,0.7,0.0,Everyone,Free,10000,3.9,1,0,265.0
Sports,28.0,0.0,Everyone,Free,5,3.9,1,0,0.0
Health And Fitness,12.0,0.0,Everyone,Free,10,3.9,1,0,0.0
Productivity,3.2,0.0,Everyone,Free,10,3.9,1,0,0.0
Family,16.0,2.99,Everyone,Paid,1,3.9,0,1,1.0
Family,52.0,0.0,Everyone,Free,50,5.0,1,0,4.0
Tools,2.3,0.0,Everyone,Free,10,5.0,1,0,0.0
Business,17.0,0.0,Everyone,Free,10,5.0,1,0,4.0
Tools,35.0,0.0,Everyone,Free,100,5.0,1,0,0.0
Family,0.0,0.0,Everyone,Free,50000,5.0,1,0,0.0
Family,0.0,0.0,Everyone,Free,50000,5.0,1,0,0.0
Family,30.0,0.0,Everyone,Free,100000,3.2,1,0,1354.0
Family,70.0,0.0,Everyone,Free,10000,3.6,1,0,284.0
Game,67.0,0.0,Everyone,Free,10000,3.6,1,0,153.0
Family,36.0,0.0,Everyone,Free,1000,3.8,1,0,20.0
Family,0.0,0.0,Everyone,Free,10000,4.5,1,0,153.0
Photography,0.0,0.0,Everyone,Free,100000000,4.2,1,0,79792.0
Game,36.0,0.0,Teen,Free,500000,3.8,1,0,51523.0
News And Magazines,9.8,0.0,Everyone,Free,1000000,4.4,1,0,2959.0
News And Magazines,9.7,0.0,Everyone,Free,500000,4.4,1,0,1071.0
Tools,5.0,0.0,Everyone,Free,100000,4.3,1,0,1602.0
News And Magazines,6.0,0.0,Everyone,Free,50,4.3,1,0,0.0
Sports,22.0,0.0,Everyone,Free,1000000,3.7,1,0,20879.0
Sports,53.0,0.0,Everyone,Free,100000,4.1,1,0,4374.0
Medical,25.0,9.99,Everyone,Paid,10000,4.5,0,1,63.0
Family,4.1,0.0,Everyone,Free,100,4.5,1,0,0.0
Shopping,22.0,0.0,Everyone,Free,10000000,4.7,1,0,181810.5
Medical,5.8,3.99,Everyone,Paid,1000,4.4,0,1,15.0
Productivity,0.0,0.0,Everyone,Free,10000000,4.2,1,0,102451.0
Personalization,9.8,0.0,Everyone,Free,10000000,4.4,1,0,43960.0
Photography,0.0,0.0,Everyone,Free,50000000,4.3,1,0,125259.0
Photography,0.0,0.0,Everyone,Free,10000000,4.4,1,0,626366.0
Productivity,1.6,0.0,Everyone,Free,10000000,4.5,1,0,23089.0
Tools,0.0,0.0,Everyone,Free,10000000,4.5,1,0,34126.0
Productivity,0.0,0.0,Everyone,Free,10000000,4.5,1,0,26559.0
Communication,15.0,0.0,Everyone,Free,5000000,4.2,1,0,6454.0
Lifestyle,0.0,0.0,Everyone,Free,1000000,4.1,1,0,10067.0
Maps And Navigation,8.9,0.0,Everyone,Free,10000000,3.3,1,0,8465.0
Tools,25.0,0.0,Everyone,Free,10000000,3.5,1,0,21592.0
